"feature","chi2","p","n_target","n_reference","direction"
"linken",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"reich",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"respektlos",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"schauen",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"schweizer",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"sorgen",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"steht",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"unehrlich",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"unzufrieden",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"weltoffen",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"z.b",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"ziele",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"zurückgezogen",-0.0953008342860683,0.757543405145604,1,3,"Right-leaning"
"ignorant",-0.143110528589469,0.705208100234683,1,5,"Right-leaning"
"kommt",-0.143110528589469,0.705208100234683,1,5,"Right-leaning"
"lebend",-0.143110528589469,0.705208100234683,1,5,"Right-leaning"
"politik",-0.143110528589469,0.705208100234683,1,5,"Right-leaning"
"sozial",-0.143110528589469,0.705208100234683,1,5,"Right-leaning"
"verschwenderisch",-0.143110528589469,0.705208100234683,1,5,"Right-leaning"
"überheblich",-0.143110528589469,0.705208100234683,1,5,"Right-leaning"
"konservativ",-0.205252432672866,0.65051422395427,7,18,"Right-leaning"
"ausgeben",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"besserwisser",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"corona",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"diskutieren",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"einkommen",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"einsiedler",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"einstellungen",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"folgen",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"fragen",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"hause",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
