"feature","chi2","p","n_target","n_reference","direction"
"informiert",-1.09432420399545,0.295515087215591,0,5,"Right-leaning"
"job",-1.09432420399545,0.295515087215591,0,5,"Right-leaning"
"kommen",-1.09432420399545,0.295515087215591,0,5,"Right-leaning"
"staat",-1.09432420399545,0.295515087215591,0,5,"Right-leaning"
"schweizer",-1.25509767809114,0.262581077182478,2,12,"Right-leaning"
"bürgerlich",-1.52267314913925,0.217215413876075,0,6,"Right-leaning"
"ehrgeizig",-1.52267314913925,0.217215413876075,0,6,"Right-leaning"
"mehr",-1.52267314913925,0.217215413876075,0,6,"Right-leaning"
"rechts",-1.52267314913925,0.217215413876075,0,6,"Right-leaning"
"schätzen",-1.52267314913925,0.217215413876075,0,6,"Right-leaning"
"selbständig",-1.52267314913925,0.217215413876075,0,6,"Right-leaning"
"ehrlich",-1.57231453044317,0.209871205929997,3,14,"Right-leaning"
"bürger",-1.67396021062771,0.195728935454146,1,10,"Right-leaning"
"land",-1.96237397431882,0.161259653607484,0,7,"Right-leaning"
"selber",-1.96237397431882,0.161259653607484,0,7,"Right-leaning"
"intelligent",-2.06315651519252,0.15089730890926,1,11,"Right-leaning"
"leute",-2.10785154808268,0.146544933966086,22,67,"Right-leaning"
"liberal",-2.21027474514172,0.137094253313647,4,19,"Right-leaning"
"bodenständige",-2.40930728737103,0.12061572858524,0,8,"Right-leaning"
"modern",-2.86118472882773,0.0907406438843148,0,9,"Right-leaning"
"bodenständig",-2.8763593062737,0.0898890454125338,1,13,"Right-leaning"
"gute",-2.98251862088749,0.0841682031533503,3,18,"Right-leaning"
"mitte",-3.15645476963581,0.0756272545885177,2,15,"Right-leaning"
"dass",-3.2958723079077,0.0694542078085127,1,14,"Right-leaning"
"hilfsbereit",-3.56561754094254,0.0589877958789896,2,16,"Right-leaning"
"arbeiten",-7.12014617424949,0.00762224914271847,1,20,"Right-leaning"
"gerne",-7.46581803747347,0.00628814513067655,2,25,"Right-leaning"
"gut",-7.91459835139959,0.00490374659978166,2,26,"Right-leaning"
