"feature","chi2","p","n_target","n_reference","direction"
"möchten",-0.8527210141179,0.35578371405851,2,5,"far right"
"leben",-0.885404011499967,0.346725823673356,50,53,"far right"
"loyal",-0.977119294418389,0.322911042279955,7,10,"far right"
"ruhig",-0.977119294418389,0.322911042279955,7,10,"far right"
"dass",-1.03995368812017,0.307832243070363,6,9,"far right"
"mittelstand",-1.04776088705485,0.306023338812285,20,24,"far right"
"angestellte",-1.07424568737634,0.299988410996948,1,4,"far right"
"fröhliche",-1.07424568737634,0.299988410996948,1,4,"far right"
"gleich",-1.07424568737634,0.299988410996948,1,4,"far right"
"lebensfroh",-1.07424568737634,0.299988410996948,1,4,"far right"
"leisten",-1.07424568737634,0.299988410996948,1,4,"far right"
"luxus",-1.07424568737634,0.299988410996948,1,4,"far right"
"modern",-1.07424568737634,0.299988410996948,1,4,"far right"
"selbstbewusst",-1.07424568737634,0.299988410996948,1,4,"far right"
"unsere",-1.07424568737634,0.299988410996948,1,4,"far right"
"unternehmer",-1.07424568737634,0.299988410996948,1,4,"far right"
"vertreten",-1.07424568737634,0.299988410996948,1,4,"far right"
"einfach",-1.11429474006804,0.291150269155952,15,19,"far right"
"gesellig",-1.32108210164768,0.250397939595986,3,7,"far right"
"gleichgesinnte",-1.32108210164768,0.250397939595986,3,7,"far right"
"sparsam",-1.32108210164768,0.250397939595986,3,7,"far right"
"bürger",-1.46926353169121,0.225461927756875,7,11,"far right"
"anständig",-1.53895568963382,0.214773315612484,2,6,"far right"
"menschenverstand",-1.53895568963382,0.214773315612484,2,6,"far right"
"realistisch",-1.53895568963382,0.214773315612484,2,6,"far right"
"selbständig",-1.53895568963382,0.214773315612484,2,6,"far right"
"zuverlässig",-1.53895568963382,0.214773315612484,2,6,"far right"
"familien",-1.57271981671297,0.209812469642174,6,10,"far right"
"berufsleute",-1.60172911258611,0.205658342318315,0,3,"far right"
"christlich",-1.60172911258611,0.205658342318315,0,3,"far right"
"erfahren",-1.60172911258611,0.205658342318315,0,3,"far right"
"freundeskreis",-1.60172911258611,0.205658342318315,0,3,"far right"
"geben",-1.60172911258611,0.205658342318315,0,3,"far right"
"gewissenhaft",-1.60172911258611,0.205658342318315,0,3,"far right"
"glaube",-1.60172911258611,0.205658342318315,0,3,"far right"
"guten",-1.60172911258611,0.205658342318315,0,3,"far right"
"klare",-1.60172911258611,0.205658342318315,0,3,"far right"
"monat",-1.60172911258611,0.205658342318315,0,3,"far right"
"unauffällig",-1.60172911258611,0.205658342318315,0,3,"far right"
"werte",-1.89119854288503,0.169066799833639,4,8,"far right"
"aufgewachsen",-1.90742193153775,0.167249916083562,1,5,"far right"
"beiden",-1.90742193153775,0.167249916083562,1,5,"far right"
"christen",-1.90742193153775,0.167249916083562,1,5,"far right"
"fleissig",-1.90742193153775,0.167249916083562,1,5,"far right"
"recht",-1.90742193153775,0.167249916083562,1,5,"far right"
"steuern",-1.90742193153775,0.167249916083562,1,5,"far right"
"bescheiden",-1.91194427409723,0.166747445411607,8,13,"far right"
"normal",-2.0295915965395,0.154262055820898,7,12,"far right"
"meinung",-2.0867551836687,0.148581360395871,12,18,"far right"
"mehr",-2.32527975605327,0.127287334547081,2,7,"far right"
"pflichtbewusst",-2.32527975605327,0.127287334547081,2,7,"far right"
"hilfsbereit",-2.60194292409519,0.106732795484496,12,19,"far right"
"50",-2.65235931230484,0.103396335637715,0,4,"far right"
"grossen",-2.65235931230484,0.103396335637715,0,4,"far right"
"gruppen",-2.65235931230484,0.103396335637715,0,4,"far right"
"kindern",-2.65235931230484,0.103396335637715,0,4,"far right"
"svp",-2.82714258229449,0.0926831316592714,1,6,"far right"
"geld",-2.95771603864604,0.0854685912372496,3,8,"far right"
